pdb_code,binding_affinity,binding_free_energy
1a22,Kd=0.34nM,-12.908
1acb,Kd=0.2nM,-13.223
1ak4,Kd=17uM,-6.502
1an1,Ki=0.9nM,-12.332
1atn,Kd=0.45nM,-12.742
1ava,Ki=0.22nM,-13.166
1avx,Kd=60fM,-18.025
1avz,Kd=15.8uM,-6.546
1axi,Kd=14nM,-10.707
1ay7,Kd=1uM,-8.18
1b27,Kd=0.01pM,-19.086
1b2s,Kd=157pM,-13.366
1b2u,Kd=100nM,-9.543
1b3s,Kd=117pM,-13.54
1brs,Kd=13fM,-18.931
1buh,Kd=77nM,-9.698
1bvn,Ki=9pM,-15.059
1c9p,Ki=1.0nM,-12.27
1c9t,Ki=1.0nM,-12.27
1d6r,Kd=0.13nM,-13.478
1dfj,Ki=59fM,-18.035
1dhk,Ki=35pM,-14.255
1djs,Kd=41nM,-10.071
1dp5,Ki=0.9nM,-12.332
1dpj,Ki=3nM,-11.619
1dzb,Kd=520nM,-8.567
1e6e,Kd=0.86uM,-8.269
1e96,Kd=2.7uM,-7.592
1eaw,Kd=49.7pM,-14.047
1ees,Kd=20nM,-10.496
1efn,Kd=0.38uM,-8.753
1eja,Ki=1.0nM,-12.27
1emv,Kd=24fM,-18.568
1es0,IC50=0.08uM,-9.675
1f34,Kd=0.1nM,-13.633
1f3v,Kd=7.8uM,-6.964
1f5r,Ki=65uM,-5.708
1f7z,Ki=12.4uM,-6.689
1fc2,Kd=22.5nM,-10.426
1ffw,Kd=1.2uM,-8.072
1fle,Ki=6nM,-11.209
1fmo,Ki=2.3nM,-11.777
1fy8,Ki=9uM,-6.879
1g5j,Kd=0.6nM,-12.572
1g6v,Kd=72nM,-9.738
1g9i,Kd=0.12uM,-9.435
1gl0,Ki=0.8nM,-12.402
1gl1,Ki=0.13nM,-13.478
1gla,Kd=0.18uM,-9.195
1gng,Kd=39nM,-10.101
1grn,Kd=388nM,-8.74
1gua,Kd=40nM,-10.086
1gxd,Kd=5.2nM,-11.294
1h0t,Kd=6uM,-7.119
1h1v,Kd=23nM,-10.413
1h59,Kd=37nM,-10.132
1he8,Kd=2.5uM,-7.637
1i4e,Kd=0.12uM,-9.435
1i8l,Kd=0.2uM,-9.133
1ibr,Kd=0.3nM,-12.983
1j2j,Kd=1.4uM,-7.981
1j7v,Kd=35pM,-14.255
1jgn,Kd=0.35uM,-8.801
1jh4,Kd=1.5uM,-7.94
1jiw,Kd=4pM,-15.539
1jsp,Kd=50uM,-5.864
1jtd,Ki=27.2pM,-14.404
1k93,Kd=20nM,-10.496
1kac,Kd=14.8nM,-10.674
1kbh,Kd=34nM,-10.182
1ktk,Kd=20uM,-6.406
1ktz,Kd=290nM,-8.913
1kxp,Kd=1nM,-12.27
1kxt,Kd=235nM,-9.037
1l4d,Kd=196.6nM,-9.143
1l4z,Kd=196.6nM,-9.143
1l8c,Kd=7nM,-11.118
1ldt,Ki=1.8nM,-11.922
1lp1,Kd=2uM,-7.769
1lw6,Kd=2pM,-15.949
1lx5,Kd=1.2nM,-12.162
1lzw,Kd=0.33uM,-8.836
1m10,Kd=5.8nM,-11.229
1m5n,Kd=2.1nM,-11.83
1mah,Kd=25pM,-14.454
1mcv,Ki=98nM,-9.555
1mq8,Kd=3uM,-7.529
1mxe,Kd=1pM,-16.36
1mzw,Kd=1.97uM,-7.778
1nw9,Ki=0.013uM,-10.751
1nys,Kd=10nM,-10.906
1nyu,Kd=10nM,-10.906
1o9a,Kd=1uM,-8.18
1oey,Kd=4nM,-11.449
1op9,Kd=0.7nM,-12.481
1otr,Kd=155uM,-5.194
1oyh,Kd=42nM,-10.057
1ozs,Kd=31uM,-6.147
1p27,Kd=0.7nM,-12.481
1p69,Kd=76nM,-9.706
1p6a,Kd=35nM,-10.165
1p9d,Kd=12.9uM,-6.666
1pd7,Kd=0.3uM,-8.893
1pjm,Kd=180nM,-9.195
1pjn,Kd=22nM,-10.44
1pk1,Kd=54nM,-9.908
1ppe,Kd=3pM,-15.709
1psb,Kd=20uM,-6.406
1pvh,Kd=80nM,-9.675
1pxv,Ki=0.31nM,-12.963
1q0w,Kd=277uM,-4.85
1q5w,Kd=126uM,-5.316
1q68,Kd=400nM,-8.722
1q69,Kd=900nM,-8.242
1qa9,Kd=1uM,-8.18
1r0r,Kd=29.4pM,-14.358
1r8u,Kd=13nM,-10.751
1ri8,Kd=2.9nM,-11.639
1rjc,Kd=77pM,-13.788
1rkc,Kd=39nM,-10.101
1rke,Kd=50nM,-9.953
1rpq,IC50=0.032uM,-10.218
1ry7,Kd=0.23uM,-9.05
1s4y,Kd=6.87nM,-11.129
1sb0,Kd=15uM,-6.576
1shy,Kd=90nM,-9.605
1smf,Ki=0.12uM,-9.435
1sq0,Kd=30nM,-10.256
1sv0,Kd=11.1nM,-10.845
1syq,Kd=14.7nM,-10.678
1t01,Kd=39nM,-10.101
1t0p,Kd=25uM,-6.274
1t44,Kd=1uM,-8.18
1t5z,Kd=33uM,-6.11
1t63,Kd=15uM,-6.576
1t6b,Kd=0.4nM,-12.812
1ta3,Ki=9nM,-10.969
1tba,Kd=1nM,-12.27
1tdq,Kd=12nM,-10.798
1te1,Ki=3.4nM,-11.545
1th1,Kd=2.1nM,-11.83
1tlh,Kd=300uM,-4.803
1tm1,Ki=0.003nM,-15.709
1tm3,Ki=0.019nM,-14.616
1tm4,Ki=0.13nM,-13.478
1tm5,Ki=0.017nM,-14.682
1tm7,Ki=0.0033nM,-15.653
1to1,Ki=0.46nM,-12.729
1tzn,Kd=170pM,-13.319
1u0i,Kd=70nM,-9.754
1u0s,Kd=0.23uM,-9.05
1u5s,Kd=3mM,-3.439
1uel,Kd=3.4uM,-7.455
1ugh,IC50=12pM,-14.888
1ul1,Kd=60nM,-9.846
1us7,Kd=1.8uM,-7.832
1usu,Kd=3.3uM,-7.473
1usv,Kd=3.3uM,-7.473
1uug,Kd=1.3uM,-8.024
1v18,Kd=10nM,-10.906
1vet,Kd=12.8nM,-10.76
1veu,Kd=12.8nM,-10.76
1vg0,Kd=5nM,-11.317
1vrk,Kd=6.8nM,-11.135
1vyt,Kd=20nM,-10.496
1wa7,Kd=9.58uM,-6.842
1wa8,Kd=11nM,-10.85
1wlp,Kd=0.64uM,-8.444
1wpx,Ki=1.80nM,-11.922
1wq1,Kd=17uM,-6.502
1wqj,Kd=865nM,-8.266
1wr1,Kd=14.8uM,-6.584
1wrd,Kd=409uM,-4.619
1wve,Kd=7nM,-11.118
1x1u,Kd=13.2nM,-10.742
1x1w,Kd=26.4nM,-10.332
1x1x,Kd=53nM,-9.919
1x1y,Kd=12.7uM,-6.675
1xdt,Kd=10nM,-10.906
1xg2,Kd=5nM,-11.317
1xj7,Kd=39uM,-6.011
1xqh,Kd=0.2uM,-9.133
1xqs,Kd=6.5uM,-7.072
1xr0,Kd=10uM,-6.816
1xt9,Kd=200nM,-9.133
1y1k,Ki=0.3nM,-12.983
1y33,Ki=1.7nM,-11.956
1y34,Ki=0.52nM,-12.657
1y3b,Ki=0.31nM,-12.963
1y3c,Ki=0.025nM,-14.454
1y3d,Ki=0.56nM,-12.613
1y48,Ki=1.7nM,-11.956
1y4a,Ki=1.2nM,-12.162
1y4d,Ki=1.2nM,-12.162
1y6k,Kd=1nM,-12.27
1y6m,Kd=173nM,-9.219
1y6n,Kd=27nM,-10.318
1y8n,Kd=1.17uM,-8.087
1yc0,IC50=4nM,-11.449
1yd8,Kd=181uM,-5.102
1ydi,Kd=1.78nM,-11.928
1yrt,Kd=1nM,-12.27
1yru,Kd=1nM,-12.27
1yvb,Ki=6.5nM,-11.161
1yx5,Kd=350uM,-4.711
1yx6,Kd=73uM,-5.64
1z92,Kd=10nM,-10.906
1zc3,Kd=42nM,-10.057
1zc4,Kd=42nM,-10.057
1zgu,Kd=98uM,-5.465
1zhi,Kd=0.2uM,-9.133
1zjd,IC50=1.28nM,-12.124
1zli,Ki=1.3nM,-12.114
1zr0,Ki=13nM,-10.751
1zsg,Kd=7.5uM,-6.987
1zv5,Kd=10nM,-10.906
1zvh,Kd=70nM,-9.754
1zvy,Kd=0.1nM,-13.633
2a24,Kd=30uM,-6.166
2a78,Kd=60nM,-9.846
2a7u,Kd=120nM,-9.435
2a9k,Kd=60nM,-9.846
2ajf,Kd=10nM,-10.906
2aq2,Kd=11nM,-10.85
2arp,Kd=430nM,-8.679
2b0z,Kd=100uM,-5.453
2b12,Kd=20uM,-6.406
2b42,Kd=1.07nM,-12.23
2b7c,Kd=0.4uM,-8.722
2b87,Kd=100nM,-9.543
2be6,Kd=2.63nM,-11.697
2bqz,Kd=20uM,-6.406
2btf,Kd=2.3uM,-7.687
2c0l,Kd=109nM,-9.492
2c1m,Kd=1.1nM,-12.213
2c7m,Kd=6.4uM,-7.081
2cpk,Ki=2.3nM,-11.777
2d10,Kd=1.7nM,-11.956
2den,Kd=17uM,-6.502
2djy,Kd=40uM,-5.996
2dsp,Kd=3uM,-7.529
2dx5,Kd=0.33mM,-4.746
2efd,Kd=7.3nM,-11.093
2efh,Kd=36nM,-10.148
2f31,Kd=102nM,-9.531
2f4m,Kd=65nM,-9.798
2f9z,Kd=0.9uM,-8.242
2few,Kd=3.7mM,-3.315
2fju,Kd=5.3uM,-7.192
2ftl,Kd=60fM,-18.025
2ftm,Kd=16pM,-14.718
2fu5,Kd=0.7nM,-12.481
2fuh,Kd=300uM,-4.803
2fyl,Kd=2.8uM,-7.57
2g2u,Kd=1.25uM,-8.048
2g2w,Kd=582nM,-8.5
2g45,Kd=2.82uM,-7.566
2g81,Ki=13.6nM,-10.724
2gh0,Kd=90nM,-9.605
2gng,IC50=6uM,-7.119
2gox,Kd=0.8nM,-12.402
2gww,Kd=0.11nM,-13.577
2h4m,Kd=42nM,-10.057
2hd5,Kd=2.8uM,-7.57
2hev,IC50=62nM,-9.826
2hle,Kd=40nM,-10.086
2hqw,Kd=2nM,-11.859
2hrk,Kd=9nM,-10.969
2hsq,Kd=6.61nM,-11.152
2hth,Kd=105uM,-5.424
2ihs,Kd=40nM,-10.086
2ij0,Kd=180pM,-13.285
2iwg,Kd=37nM,-10.132
2ixq,Kd=0.7uM,-8.391
2iy1,Kd=787nM,-8.322
2j0t,Ki=0.4nM,-12.812
2j12,Kd=20nM,-10.496
2j1k,Kd=1.1nM,-12.213
2jby,IC50=50nM,-9.953
2jgz,Kd=1mM,-4.09
2jjs,Kd=1.2uM,-8.072
2jod,Ki=350nM,-8.801
2jt4,Kd=40uM,-5.996
2jti,Kd=0.588uM,-8.494
2ju0,Kd=100nM,-9.543
2jy6,Kd=20uM,-6.406
2k2s,Kd=53nM,-9.919
2k2u,Kd=360nM,-8.785
2k3s,Kd=2.7uM,-7.592
2k42,Kd=35nM,-10.165
2k5b,Kd=4uM,-7.359
2k6d,Kd=171uM,-5.136
2k79,Kd=0.67mM,-4.327
2k7a,Kd=0.67mM,-4.327
2k8b,Kd=1.8mM,-3.742
2k8c,Kd=1.8mM,-3.742
2k8f,Kd=2.7uM,-7.592
2ka4,Kd=58nM,-9.866
2ka6,Kd=52nM,-9.93
2kbw,Kd=0.32uM,-8.854
2kc8,Kd=200nM,-9.133
2kgx,Kd=9uM,-6.879
2khs,Kd=0.36uM,-8.785
2kj4,Kd=65nM,-9.798
2knb,Kd=11uM,-6.76
2kqs,Kd=55.3uM,-5.804
2kri,Kd=46uM,-5.913
2kt5,Kd=28uM,-6.207
2ktf,Kd=23uM,-6.323
2kvq,Kd=50uM,-5.864
2kwi,Kd=184nM,-9.182
2kwj,Kd=0.5uM,-8.59
2kwk,Kd=2.3uM,-7.687
2kwo,Kd=46.9uM,-5.901
2kwu,Kd=51uM,-5.852
2kwv,Kd=90uM,-5.516
2kxh,Kd=14uM,-6.617
2kxw,Kd=10nM,-10.906
2l0f,Kd=172uM,-5.132
2l0t,Kd=64uM,-5.717
2l14,Kd=3.1uM,-7.51
2l1l,Kd=7nM,-11.118
2l29,Kd=15.3nM,-10.655
2l2l,Kd=12.4nM,-10.779
2l9s,Kd=2.2uM,-7.713
2ld7,Kd=9.2nM,-10.956
2leh,Kd=3.3nM,-11.563
2lfw,Kd=5.6nM,-11.25
2lkm,Kd=12nM,-10.798
2lox,Kd=190nM,-9.163
2lp0,Kd=22.2uM,-6.344
2lp4,Kd=4mM,-3.269
2lpb,Kd=10.1uM,-6.811
2lqc,Kd=2.9uM,-7.549
2lqh,Kd=85uM,-5.549
2luh,Kd=0.7uM,-8.391
2lvo,Kd=12.8uM,-6.67
2lww,Kd=57nM,-9.876
2lxm,Kd=0.08nM,-13.765
2ly4,Kd=346nM,-8.808
2lz6,Kd=12uM,-6.709
2m04,Kd=10nM,-10.906
2m0g,Kd=84nM,-9.646
2m0j,Kd=12nM,-10.798
2m49,Kd=10uM,-6.816
2m55,Kd=35uM,-6.075
2m5a,Kd=48nM,-9.978
2m86,Kd=2.6nM,-11.704
2mbb,Kd=130uM,-5.298
2mcn,Kd=1.9uM,-7.8
2mej,Kd=17uM,-6.502
2mfq,Kd=5.2uM,-7.204
2mj5,Kd=4.3uM,-7.316
2mnu,Kd=230nM,-9.05
2mp0,Kd=25mM,-2.184
2mre,Kd=19uM,-6.436
2mro,Kd=150uM,-5.213
2mur,Kd=9.26uM,-6.862
2mv7,Kd=1.56nM,-12.006
2mws,Kd=45uM,-5.926
2mzd,Kd=0.877uM,-8.258
2n01,Kd=1uM,-8.18
2n1d,Kd=60nM,-9.846
2n2h,Kd=0.93uM,-8.223
2n73,Kd=320nM,-8.854
2n8j,Kd=10.7nM,-10.866
2nbv,Kd=9.3uM,-6.859
2noj,Kd=13nM,-10.751
2nqd,Ki=39pM,-14.191
2o3b,Ki=3.2pM,-15.671
2o8v,Ki=1.1uM,-8.123
2omt,Kd=100nM,-9.543
2omu,Kd=0.6nM,-12.572
2omv,Kd=1.2nM,-12.162
2omw,Kd=10uM,-6.816
2omx,Kd=120nM,-9.435
2omy,Kd=0.2uM,-9.133
2omz,Kd=400nM,-8.722
2oob,Kd=57uM,-5.786
2ot3,Kd=1.8uM,-7.832
2ot8,Kd=20nM,-10.496
2oul,Ki=1.7nM,-11.956
2oza,Kd=2.5nM,-11.727
2p1l,Kd=2.3uM,-7.687
2p42,Kd=23nM,-10.413
2p43,Kd=23nM,-10.413
2p44,Kd=20nM,-10.496
2p45,Kd=116nM,-9.455
2p46,Kd=116nM,-9.455
2p47,Kd=116nM,-9.455
2p48,Kd=116nM,-9.455
2p49,Kd=23nM,-10.413
2p4a,Kd=180pM,-13.285
2p8q,Kd=15.6nM,-10.643
2pcb,Kd=10uM,-6.816
2pon,Kd=1.4uM,-7.981
2pop,Kd=4.2uM,-7.33
2psm,Kd=30pM,-14.346
2ptc,Kd=60fM,-18.025
2ptt,Kd=4uM,-7.359
2px9,Kd=87.4uM,-5.533
2q5d,Kd=15.6nM,-10.643
2qc1,Kd=10pM,-14.996
2qna,Kd=83nM,-9.653
2qur,IC50=500nM,-8.59
2qxv,Kd=0.38uM,-8.753
2r9p,Kd=14uM,-6.617
2ra3,Kd=20pM,-14.586
2rmk,Kd=170nM,-9.229
2rms,Kd=134nM,-9.37
2rnr,Kd=150nM,-9.303
2roz,Kd=0.32uM,-8.854
2rr3,Kd=2.1uM,-7.741
2ru4,Kd=126nM,-9.406
2ruk,Kd=24.21uM,-6.293
2rvb,Kd=143.3nM,-9.33
2sic,Kd=71.2pM,-13.834
2sni,Kd=2pM,-15.949
2tgp,Kd=2.4uM,-7.661
2uuy,Ki=5.6nM,-11.25
2uyz,Kd=82nM,-9.661
2v3b,Kd=5uM,-7.227
2v4z,Kd=1.25uM,-8.048
2v51,Kd=1.0uM,-8.18
2v52,Kd=1.9uM,-7.8
2v5q,Kd=71nM,-9.746
2v6x,Kd=28uM,-6.207
2v8s,Kd=22uM,-6.35
2v9t,Kd=8.2nM,-11.024
2vay,Kd=7.9nM,-11.046
2vda,Kd=3uM,-7.529
2vdb,Kd=0.15nM,-13.393
2ve7,Kd=4uM,-7.359
2ver,Kd=13.1uM,-6.657
2vln,Kd=1.68pM,-16.052
2vlo,Kd=0.892pM,-16.427
2vlp,Kd=0.543pM,-16.721
2vlq,Kd=22.8pM,-14.508
2vog,Kd=210nM,-9.104
2voh,Kd=1nM,-12.27
2voi,Kd=1.1nM,-12.213
2vsm,Kd=35nM,-10.165
2w19,Kd=140nM,-9.344
2w84,Kd=0.07uM,-9.754
2wd5,Kd=22nM,-10.44
2wel,Kd=0.3uM,-8.893
2wfx,Kd=14nM,-10.707
2wg4,Kd=73.9nM,-9.722
2wh6,Kd=18nM,-10.558
2wjv,Kd=0.2uM,-9.133
2wo2,Kd=10.8uM,-6.771
2wo3,Kd=2.3uM,-7.687
2wp0,Kd=0.93uM,-8.223
2wp3,Kd=0.794uM,-8.316
2wpt,Kd=0.1uM,-9.543
2wqz,Kd=132nM,-9.379
2wwk,Kd=1.28uM,-8.034
2wwx,Kd=79nM,-9.683
2wy3,Kd=66nM,-9.789
2wy8,Kd=360nM,-8.785
2x1x,Kd=16nM,-10.628
2x2d,Kd=6.1uM,-7.109
2xa0,Kd=35.3nM,-10.16
2xb6,Kd=115nM,-9.46
2xdf,Kd=21uM,-6.377
2xgy,Kd=30uM,-6.166
2xhe,Kd=3.9nM,-11.464
2xns,Kd=810nM,-8.305
2xpx,Kd=150nM,-9.303
2xqr,Kd=31nM,-10.237
2xtt,Ki=20pM,-14.586
2y8s,Kd=0.989nM,-12.276
2y8t,Kd=14.2nM,-10.699
2y9m,Kd=2nM,-11.859
2yj1,IC50=26nM,-10.341
2yq7,Ki=35nM,-10.165
2yvj,Kd=294uM,-4.815
2z58,Kd=16nM,-10.628
2z7f,IC50=13nM,-10.751
2za4,Kd=0.14nM,-13.434
2zvk,Kd=0.4uM,-8.722
3a4s,Kd=2.81uM,-7.568
3ajb,Kd=40.8nM,-10.074
3alz,Kd=0.52uM,-8.567
3aon,Kd=3.2nM,-11.581
3au4,Kd=0.53uM,-8.556
3beg,Kd=50nM,-9.953
3bh6,Kd=95nM,-9.573
3blh,Kd=300nM,-8.893
3bn3,Kd=20uM,-6.406
3bp8,Kd=4.14nM,-11.429
3bs5,Kd=92.5nM,-9.589
3bzd,Kd=96uM,-5.477
3c4m,Kd=0.98uM,-8.192
3c4o,Kd=4.6nM,-11.366
3c4p,Kd=4.4nM,-11.392
3c59,IC50=5nM,-11.317
3c5t,IC50=0.6nM,-12.572
3c66,Kd=3uM,-7.529
3ch5,Kd=120uM,-5.345
3cqc,Kd=4nM,-11.449
3cqg,Kd=4nM,-11.449
3cqx,Kd=4.5uM,-7.289
3cx6,Kd=4.8uM,-7.251
3cx7,Kd=520nM,-8.567
3cx8,Kd=340nM,-8.819
3d5r,Kd=19nM,-10.526
3d5s,Kd=26nM,-10.341
3d7t,Kd=70uM,-5.664
3da7,Kd=0.13uM,-9.388
3ddc,Kd=0.77uM,-8.335
3di2,Kd=18uM,-6.468
3di3,Kd=21nM,-10.467
3doe,Kd=20nM,-10.496
3dvm,Kd=4.32nM,-11.403
3dvu,Kd=0.2uM,-9.133
3dxc,Kd=0.22uM,-9.076
3dxd,Kd=0.34uM,-8.819
3dxe,Kd=0.33uM,-8.836
3e1z,Ki=0.036nM,-14.238
3e2k,Ki=69pM,-13.853
3e2l,Ki=69pM,-13.853
3eab,Kd=12uM,-6.709
3eba,Kd=2.36nM,-11.761
3eg5,Kd=1253nM,-8.046
3ejj,Kd=455nM,-8.646
3eoy,Kd=2.8nM,-11.66
3f1p,Kd=120uM,-5.345
3f50,Ki=9nM,-10.969
3f7p,Kd=49uM,-5.876
3ff8,Kd=130uM,-5.298
3fhc,Kd=21.6nM,-10.45
3fii,Ki=1.9nM,-11.89
3fju,Ki=1.6nM,-11.991
3fp6,Kd=0.1pM,-17.723
3fpu,Kd=0.12nM,-13.525
3g7a,Ki=9nM,-10.969
3g9v,Kd=1pM,-16.36
3g9w,Kd=36uM,-6.058
3gb8,Kd=6.5uM,-7.072
3gc3,Kd=2.1uM,-7.741
3gj3,Kd=49uM,-5.876
3gj4,Kd=6.6uM,-7.063
3gj5,Kd=47uM,-5.9
3gj6,Kd=6.5uM,-7.072
3gj7,Kd=4uM,-7.359
3gj8,Kd=3uM,-7.529
3gni,Kd=12nM,-10.798
3gqi,Kd=33nM,-10.2
3gty,Kd=0.47nM,-12.717
3gxu,Kd=203nM,-9.124
3h2u,Kd=12.6uM,-6.68
3h3g,Kd=0.99uM,-8.186
3h8k,Kd=21nM,-10.467
3hct,Kd=1.48uM,-7.948
3hcu,Kd=1.48uM,-7.948
3ho5,Kd=220nM,-9.076
3ia3,Kd=93nM,-9.586
3idb,Kd=11.3nM,-10.834
3idc,Kd=0.6nM,-12.572
3ifq,Kd=116nM,-9.455
3inb,Kd=0.2uM,-9.133
3iol,IC50=500nM,-8.59
3ixe,IC50=2.3uM,-7.687
3jza,Kd=3pM,-15.709
3k75,Kd=110nM,-9.487
3k8p,Kd=10nM,-10.906
3kbt,Kd=9.29nM,-10.95
3kj0,Kd=2nM,-11.859
3kj1,Kd=2nM,-11.859
3kj2,Kd=2nM,-11.859
3kls,Kd=5.5nM,-11.26
3knb,Kd=0.94uM,-8.216
3kuc,Kd=0.442uM,-8.663
3kud,Kd=1.7uM,-7.866
3kv4,Kd=1uM,-8.18
3kw5,Kd=385nM,-8.745
3kyi,Kd=218uM,-4.992
3kz0,Ki=273nM,-8.948
3l33,Ki=136nM,-9.361
3l9j,Kd=0.34nM,-12.908
3lb8,Kd=66uM,-5.699
3lbx,Kd=400nM,-8.722
3lms,Ki=1.2nM,-12.162
3m18,Kd=180pM,-13.285
3m63,Kd=175nM,-9.212
3mca,Kd=0.39uM,-8.737
3me2,Kd=68pM,-13.861
3mj7,Kd=5uM,-7.227
3mzg,Kd=4.97mM,-3.141
3mzw,Kd=22pM,-14.529
3n00,IC50=0.22uM,-9.076
3n06,Kd=3.1mM,-3.42
3n0p,Kd=5.1mM,-3.125
3n4i,Kd=1.1nM,-12.213
3ncb,Kd=93mM,-1.406
3ncc,Kd=212mM,-0.918
3nvn,Kd=9.4nM,-10.943
3nvq,Kd=287nM,-8.919
3o34,Kd=8.8uM,-6.892
3o40,Ki=1.4nM,-12.07
3o43,Ki=9nM,-10.969
3o5t,Kd=1.5uM,-7.94
3o6b,Kd=227nM,-9.058
3oak,Kd=169nM,-9.232
3oiq,Kd=3.8uM,-7.389
3ojm,Kd=130nM,-9.388
3oky,Kd=1.3uM,-8.024
3ol2,Kd=5.5uM,-7.17
3olm,Kd=90.6uM,-5.512
3ona,Kd=0.68uM,-8.408
3onl,Kd=12uM,-6.709
3onw,Kd=2.3nM,-11.777
3osl,Kd=1.8nM,-11.922
3oun,Kd=58nM,-9.866
3ouw,Kd=23nM,-10.413
3oux,Kd=35nM,-10.165
3p71,Kd=0.38uM,-8.753
3p92,Ki=5.9nM,-11.219
3p95,Ki=1.5uM,-7.94
3pnr,Ki=11.9nM,-10.803
3pvm,Kd=42nM,-10.057
3qbr,IC50=68nM,-9.771
3qbv,Kd=478nM,-8.617
3qc8,Kd=11.2uM,-6.749
3qhy,Kd=1.1pM,-16.303
3qlu,Kd=11nM,-10.85
3qq8,Kd=1.5uM,-7.94
3qs7,Kd=40nM,-10.086
3qsk,Kd=91nM,-9.599
3qwq,Kd=2nM,-11.859
3r4d,Kd=21.4nM,-10.456
3r85,Kd=41.3uM,-5.977
3r9a,Kd=3.5uM,-7.438
3rdz,Kd=2.69nM,-11.684
3reb,Kd=96nM,-9.567
3rgf,Kd=7.05nM,-11.113
3ro2,Kd=0.046uM,-10.003
3rt0,Kd=1.2uM,-8.072
